arti_time,hour,minute,second,accX,accY,accX,gyroX,gyroY,gyroZ
1000,16,31,49,-6360,-5656,10568,518,1301,4224
1000,16,31,46,-6400,-6040,10504,514,1281,4224
1000,16,31,47,-6520,-6112,11008,512,1285,4224
1000,16,31,56,-6400,-6048,10768,514,1285,4224
1000,16,31,58,-6336,-5952,10768,516,1300,4224
1000,16,31,59,-6584,-5920,10756,518,1300,4224
1000,16,31,56,-6592,-5720,10836,518,1300,4224
1000,16,31,57,-6520,-5952,10756,512,1281,4224
1000,16,31,58,-6488,-5952,10576,516,1281,4224
1000,16,31,59,-6488,-5696,10560,512,1281,4224
1000,16,31,56,-6424,-6136,10832,516,1280,4224
1000,16,31,57,-6528,-5984,10752,512,1297,4224
1000,16,34,6,-6560,-6040,10752,512,1296,4224
1000,16,34,7,-6368,-5944,10752,516,1296,0
1000,16,34,8,-6392,-6008,10496,514,1285,4224
1000,16,34,9,-6240,-5688,10496,516,1281,4096
1000,16,34,6,-6560,-6144,10756,514,1300,4224
1000,16,34,7,-6552,-6072,10500,518,1301,4224
1000,16,34,8,-6456,-6048,10500,516,1296,4224
1000,16,34,9,-6520,-6144,10504,516,1281,4224
1000,16,34,6,-6528,-5952,10496,518,1296,4224
1000,16,34,7,-6496,-6016,10752,512,1284,4224
1000,16,34,16,-6432,-6072,10512,512,1296,4224
1000,16,34,17,-6456,-6072,10496,516,1285,4224
1000,16,34,18,-6464,-6112,10496,512,1281,4224
1000,16,34,19,-6328,-6048,10500,514,1281,4224
1000,16,34,16,-6432,-6104,10756,518,1285,4224
1000,16,34,17,-6488,-5976,10772,516,1284,4224
1000,16,34,18,-6496,-6112,10756,518,1285,4224
1000,16,34,19,-6464,-6016,10768,518,1297,4224
1000,16,34,16,-6488,-6144,10752,514,1285,4224
1000,16,34,17,-6424,-6016,10752,516,1301,4224
1000,16,34,26,-6496,-6104,10496,512,1284,4224
1000,16,34,27,-6464,-6112,10784,518,1296,4224
1000,16,34,28,-6432,-6008,10752,516,1280,4224
1000,16,34,29,-6528,-6072,10788,512,1297,4224
1000,16,34,26,-6360,-6112,10752,516,1301,0
1000,16,34,27,-6424,-6072,10784,514,1281,4224
1000,16,34,28,-6336,-6072,10784,516,1285,0
1000,16,34,29,-6328,-6016,10504,516,1285,4224
1000,16,34,26,-6584,-5792,11048,516,1297,4224
1000,16,34,36,-6488,-6008,10752,518,1280,4224
1000,16,34,37,-6552,-5656,10528,512,1296,4224
1000,16,34,38,-6432,-6112,10496,514,1280,4224
1000,16,34,39,-6432,-5976,10768,514,1281,4224
1000,16,34,36,-6392,-6144,10496,518,1284,4224
1000,16,34,37,-6496,-6104,10528,512,1297,4224
1000,16,34,38,-6400,-6040,10804,516,1296,4224
1000,16,34,39,-6656,-5720,10552,518,1296,4224
1000,16,34,36,-6200,-6016,10552,514,1301,4224
1000,16,34,37,-6552,-6112,10752,516,1300,4224
1000,16,34,46,-6368,-6048,10816,516,1301,4224
1000,16,34,47,-6520,-6008,10752,512,1280,4224
1000,16,34,46,-6456,-5984,10564,512,1301,4224
1000,16,34,47,-6392,-5656,10752,514,1297,4224
1000,16,34,48,-6392,-6072,10564,516,1281,4224
1000,16,34,49,-6520,-6136,10496,516,1281,4224
1000,16,34,46,-6432,-6136,10760,512,1285,4224
1000,16,34,47,-6432,-6016,10816,518,1297,4224
1000,16,34,56,-6552,-6072,10752,518,1285,4224
1000,16,34,57,-6592,-5816,10560,516,1301,4224
1000,16,34,58,-6296,-6112,10816,516,1280,4224
1000,16,34,59,-6496,-6104,10564,514,1301,4224
1000,16,34,56,-6432,-6040,10756,514,1285,4224
1000,16,34,57,-6424,-5888,10560,512,1285,4224
1000,16,34,58,-6392,-6080,10496,516,1284,4224
1000,16,34,59,-6488,-6104,10840,512,1296,4224
1000,16,34,56,-6424,-6016,10832,516,1281,4224
1000,16,34,57,-6432,-6080,10496,512,1280,4224
1000,16,35,6,-6432,-6016,10496,512,1301,4224
1000,16,35,7,-6400,-6080,10496,516,1296,4224
1000,16,35,8,-6432,-6080,10496,512,1280,4224
1000,16,35,9,-6464,-6080,10756,516,1300,4224
1000,16,35,6,-6456,-6144,10752,514,1301,4224
1000,16,35,7,-6400,-6008,10756,516,1297,4224
1000,16,35,8,-6424,-6112,10496,514,1280,4224
1000,16,35,9,-6552,-6048,10760,516,1296,4224
1000,16,35,6,-6584,-6080,10496,514,1280,4224
1000,16,35,7,-6432,-5984,10768,516,1300,4224
1000,16,35,16,-6488,-5656,10768,514,1301,4224
1000,16,35,17,-6432,-6104,10512,514,1284,4224
1000,16,35,18,-6496,-6112,10496,518,1281,4224
1000,16,35,19,-6488,-6104,10516,512,1281,4224
1000,16,35,16,-6392,-6048,10756,512,1297,4224
1000,16,35,17,-6464,-6048,10516,516,1280,4224
1000,16,35,18,-6304,-6008,10768,516,1280,4224
1000,16,35,19,-6368,-6008,10520,516,1301,4224
1000,16,35,16,-6528,-5760,10776,514,1284,4224
1000,16,35,17,-6456,-5664,10528,518,1284,4224
1000,16,35,26,-6400,-6104,10784,516,1284,0
1000,16,35,27,-6488,-6104,10752,514,1297,4224
1000,16,35,28,-6400,-6136,10528,512,1297,4224
1000,16,35,26,-6488,-5664,10784,512,1300,4224
1000,16,35,27,-6456,-6144,10784,514,1296,4224
1000,16,35,28,-6584,-5656,10784,512,1297,4224
1000,16,35,29,-6400,-5656,10792,518,1285,4224
1000,16,35,26,-6496,-6008,10784,512,1285,4224
1000,16,35,27,-6464,-6008,10784,516,1280,4224
1000,16,35,36,-6456,-6144,10752,518,1301,4224
1000,16,35,37,-6464,-6080,10800,512,1297,4224
1000,16,35,38,-6464,-6136,10784,512,1281,4224
1000,16,35,39,-6520,-6040,10512,512,1281,4224
1000,16,35,36,-6336,-6072,10544,518,1285,4224
1000,16,35,37,-6456,-6144,10804,516,1297,4224
1000,16,35,38,-6496,-6104,10752,514,1301,4224
1000,16,35,39,-6496,-6080,10768,516,1300,4224
1000,16,35,36,-6432,-6104,10792,518,1284,4224
1000,16,35,37,-6496,-6016,10496,516,1280,4224
1000,16,35,46,-6432,-6136,10752,512,1280,4224
1000,16,35,47,-6496,-5760,10816,518,1300,4224
1000,16,35,48,-6624,-5664,10752,514,1297,4224
1000,16,35,49,-6400,-6104,10816,514,1285,4224
1000,16,35,46,-6464,-6048,10752,514,1297,4224
1000,16,35,47,-6488,-5688,10756,518,1280,4224
1000,16,35,48,-6464,-6008,10816,512,1297,4224
1000,16,35,49,-6496,-6104,10752,512,1284,4224
1000,16,35,46,-6456,-6048,10752,518,1296,4224
1000,16,35,47,-6712,-6008,10752,516,1300,0
1000,16,35,56,-6424,-5664,10576,514,1280,4224
1000,16,35,57,-6496,-5952,10496,518,1281,4224
1000,16,35,58,-6336,-5984,10576,512,1284,4224
1000,16,35,59,-6488,-6016,10752,514,1296,4224
1000,16,35,56,-6496,-5720,10836,514,1297,4224
1000,16,35,57,-6456,-6080,10752,512,1296,4224
1000,16,35,58,-6528,-6144,10772,512,1281,4224
1000,16,35,59,-6520,-6048,10752,512,1296,4224
1000,16,35,56,-6496,-6072,10776,518,1285,4224
1000,16,35,57,-6456,-6072,10752,514,1297,4224
1000,16,34,6,-6400,-6080,10752,516,1297,4224
1000,16,34,8,-6520,-6080,10496,516,1284,4224
1000,16,34,9,-6304,-5976,10496,518,1285,4224
1000,16,34,6,-6528,-5688,10756,518,1281,4224
1000,16,34,7,-6528,-6136,10500,518,1281,4224
1000,16,34,8,-6368,-6104,10496,514,1281,4224
1000,16,34,9,-6488,-6080,10760,516,1280,4224
1000,16,34,6,-6360,-6072,10504,514,1285,4224
1000,16,34,7,-6456,-5984,10768,512,1280,4224
1000,16,34,16,-6456,-6048,10752,512,1301,4224
1000,16,34,17,-6488,-6016,10496,518,1284,4224
1000,16,34,18,-6464,-6072,10752,514,1284,4224
1000,16,34,19,-6360,-6072,10512,516,1301,4224
1000,16,34,16,-6496,-6016,10772,516,1297,4224
1000,16,34,17,-6368,-6048,10756,512,1300,4224
1000,16,34,18,-6528,-6040,10768,516,1280,4224
1000,16,34,19,-6528,-6112,10768,518,1300,4224
1000,16,34,16,-6488,-6072,10520,518,1280,4224
1000,16,34,17,-6456,-5664,10528,518,1297,4224
1000,16,34,26,-6528,-6136,10752,512,1301,4224
1000,16,34,27,-6496,-6008,10528,518,1284,4224
1000,16,34,28,-6520,-6016,10784,518,1296,4224
1000,16,34,29,-6584,-5696,10788,512,1281,4224
1000,16,34,26,-6328,-6048,10756,516,1301,4224
1000,16,34,27,-6456,-6104,10532,512,1296,4224
1000,16,34,28,-6432,-6144,10528,516,1281,4224
1000,16,34,29,-6432,-6104,10784,516,1281,4224
1000,16,34,26,32,-5792,10760,518,1301,4224
1000,16,34,27,-6464,-5984,10544,518,1297,4224
1000,16,34,36,-6496,-6136,10528,514,1285,4224
1000,16,34,37,-6528,-5728,10752,514,1296,4224
1000,16,34,38,-6400,-6072,10752,518,1296,4224
1000,16,34,39,-6456,-6048,10788,512,1297,4224
1000,16,34,36,-6464,-6104,10528,518,1297,4224
1000,16,34,37,-6616,-6144,10784,514,1284,0
1000,16,34,38,-6592,-6104,10772,516,1296,4224
1000,16,34,39,-6400,-6072,10776,514,1296,4224
1000,16,34,36,-6232,-6080,10800,518,1281,4224
1000,16,34,46,-6432,-6144,10560,516,1285,4224
1000,16,34,47,-6520,-6008,10752,514,1296,4224
1000,16,34,48,-6464,-5664,10752,518,1296,4224
1000,16,34,49,-6392,-5984,10816,512,1300,4224
1000,16,34,46,-6432,-5720,10756,514,1301,4224
1000,16,34,47,-6400,-6016,10756,514,1301,4224
1000,16,34,48,-6656,-5720,10756,516,1296,4224
1000,16,34,49,-6432,-6104,10504,516,1285,4224
1000,16,34,46,-6296,-5656,10760,516,1284,4224
1000,16,34,47,-6488,-6136,10768,514,1284,4224
1000,16,34,56,-6520,-5656,10768,512,1285,4224
1000,16,34,57,-6424,-5944,10560,512,1284,4224
1000,16,34,58,-6424,-6048,10496,516,1281,4224
1000,16,34,59,-6464,-5664,10560,514,1285,4224
1000,16,34,56,-6456,-6040,10512,514,1297,4224
1000,16,34,57,-6336,-5688,10564,514,1284,4224
1000,16,34,58,-6688,-6144,10580,518,1281,4224
1000,16,34,59,-6432,-6008,10824,514,1285,4224
1000,16,34,56,-6264,-6080,8984,512,1297,4224
1000,16,34,57,-6496,-6072,10752,514,1285,4224
1000,16,35,6,-6432,-6080,10752,518,1296,4224
1000,16,35,7,-6392,-6072,10496,518,1300,4224
1000,16,35,8,-6368,-5752,10752,518,1296,4224
1000,16,35,9,-6488,-5664,10752,512,1296,4224
1000,16,35,6,-6400,-5984,10496,518,1280,4224
1000,16,35,7,-6592,-6136,10496,516,1281,4224
1000,16,35,8,-6432,-6048,10756,518,1280,4224
1000,16,35,9,-6624,-6144,10504,512,1297,4224
1000,16,35,6,-6496,-6048,10504,514,1296,4224
1000,16,35,7,-6456,-6144,10496,514,1297,4224
1000,16,35,16,-6496,-6040,10496,512,1300,4224
1000,16,35,17,-6432,-6072,10752,516,1285,4224
1000,16,35,18,-6392,-6016,10496,514,1284,4224
1000,16,35,19,-6616,-6072,10772,514,1281,4224
1000,16,35,16,-6304,-5952,10512,516,1281,4224
1000,16,35,17,-6424,-6080,10768,518,1284,4224
1000,16,35,18,-6616,-6040,10752,518,1281,4224
1000,16,35,19,-6496,-6080,10752,516,1300,4224
1000,16,35,16,-6584,-5664,10496,516,1300,4224
1000,16,35,26,-6368,-5664,11040,512,1300,4224
1000,16,35,27,-6552,-6112,10496,512,1284,4224
1000,16,35,28,-6392,-6104,10752,512,1301,4224
1000,16,35,29,-6592,-5656,11012,518,1301,4224
1000,16,35,26,-6424,-6008,10784,512,1280,4224
1000,16,35,27,-6520,-6112,10756,516,1285,4224
1000,16,35,28,-6336,-6016,10752,514,1296,0
1000,16,35,29,-6432,-6016,10528,514,1296,4224
1000,16,35,26,-6464,-5880,10792,516,1297,4224
1000,16,35,27,-6328,-6040,10768,518,1301,4224
1000,16,35,36,-6432,-6072,10544,514,1285,4224
1000,16,35,37,-6464,-5920,10528,516,1297,4224
1000,16,35,38,-6424,-6104,10544,516,1296,4224
1000,16,35,39,-6520,-6048,10788,518,1300,4224
1000,16,35,36,-6336,-5656,10288,514,1281,4224
1000,16,35,37,-6272,-5984,10544,518,1285,4224
1000,16,35,38,-6456,-6008,10772,516,1301,4224
1000,16,35,39,-6368,-6112,10776,518,1285,4224
1000,16,35,36,-6528,-5720,10752,518,1281,4224
1000,16,35,37,-6432,-6040,10752,512,1301,4224
1000,16,35,46,-6272,-6048,10496,518,1301,4224
1000,16,35,47,-6272,-6112,10752,516,1301,4224
1000,16,35,48,-6560,-5688,10816,512,1296,4224
1000,16,35,49,-6400,-5752,10564,516,1297,4224
1000,16,35,46,-6456,-5664,10752,514,1281,4224
1000,16,35,47,-6336,-6112,10820,518,1284,4224
1000,16,35,48,-6520,-6144,10752,514,1300,4224
1000,16,35,49,-6488,-6048,10760,514,1284,4224
1000,16,35,46,-6400,-6104,11008,512,1301,4224
1000,16,35,47,-6456,-6048,10560,516,1296,4224
1000,16,35,56,-6528,-5696,10768,512,1284,4224
1000,16,35,57,-6528,-6008,10576,516,1296,4224
1000,16,35,58,-6528,-6048,10832,512,1300,4224
1000,16,35,59,-6496,-5856,10516,518,1285,4224
1000,16,35,56,-6368,-6080,10752,514,1301,4224
1000,16,35,57,72,-5816,8528,518,1300,4224
1000,16,35,58,-6520,384,10500,516,1300,4224
1000,16,35,56,-6424,-5664,10776,516,1300,4224
1000,16,35,57,-6496,-5696,10752,514,1297,4224
1000,16,30,6,-6264,-6016,10496,518,1300,4224
1000,16,30,7,-6360,-6008,10496,514,1300,4224
1000,16,30,8,-6432,-5952,10752,514,1301,4224
1000,16,30,9,-6584,-6104,11012,512,1284,4224
1000,16,30,6,-6200,-5856,10496,518,1296,4224
1000,16,30,7,-6264,-6048,10752,512,1285,4224
1000,16,30,8,-6560,-6072,10756,516,1281,4224
1000,16,30,9,-6520,-5752,10760,518,1281,4224
1000,16,30,6,-6520,-6080,10752,516,1280,4224
1000,16,30,7,-6496,-5696,10752,514,1280,4224
1000,16,30,16,-6456,-6016,10752,518,1285,4224
1000,16,30,17,-6368,-5944,10768,512,1300,4224
1000,16,30,18,-6520,-6080,10512,518,1296,4224
1000,16,30,19,-6560,-6104,10772,514,1281,4224
1000,16,30,16,-6392,-6104,10756,516,1285,4224
1000,16,30,17,-6200,-6136,10512,514,1300,4224
1000,16,30,18,-6328,-5728,10500,518,1301,4224
1000,16,30,19,-6584,-6104,10776,514,1280,4224
1000,16,30,16,-6328,-6144,10504,516,1300,4224
1000,16,30,17,-6496,-6136,10752,512,1281,4224
1000,16,30,26,-6424,-6040,10528,518,1297,4224
1000,16,30,27,-6496,-6112,10784,518,1297,4224
1000,16,30,28,-6424,-6048,10752,512,1284,4224
1000,16,30,29,8,-5944,10500,512,1280,4224
1000,16,30,26,-6552,-6080,10528,518,1280,4224
1000,16,30,27,-6456,-5984,11008,516,1300,4224
1000,16,30,28,-6464,-6080,10752,514,1285,4224
1000,16,30,29,-6360,-5952,10752,518,1300,4224
1000,16,30,26,-6496,-6072,10528,518,1297,4224
1000,16,30,27,-6488,-6136,10800,516,1285,4224
1000,16,30,36,-6592,-5688,10784,516,1301,4224
1000,16,30,37,-6272,-5976,10752,512,1281,4224
1000,16,30,38,-6328,-6008,10544,516,1280,4224
1000,16,30,39,-6424,-6144,10756,512,1280,4224
