arti_time,hour,minute,second,accX,accY,accX,gyroX,gyroY,gyroZ
1000,16,30,36,-6456,-6144,10532,512,1301,4224
1000,16,30,37,-6368,-6072,10768,512,1300,4224
1000,16,30,38,-6520,-5984,10752,516,1297,4224
1000,16,30,36,-6520,-6016,10760,512,1296,4224
1000,16,30,37,-6336,-6080,10496,512,1281,4224
1000,16,30,46,-6520,-6104,10752,516,1297,4224
1000,16,30,47,-6528,-6112,10752,516,1281,4224
1000,16,30,48,-6520,-6072,10752,514,1281,4224
1000,16,30,49,-6496,-5696,10816,514,1281,4224
1000,16,30,46,-6584,-6016,10500,518,1280,4224
1000,16,30,47,-6488,-6104,10756,518,1297,4224
1000,16,30,48,-6488,-6104,10816,514,1297,4224
1000,16,30,49,-6488,-6104,10752,514,1284,4224
1000,16,30,46,-6616,-5984,10816,514,1301,4224
1000,16,30,47,-6464,-6040,10752,516,1285,4224
1000,16,30,56,-6336,-5656,10512,512,1284,4224
1000,16,30,57,-6560,-5752,10576,512,1285,4224
1000,16,30,58,-6368,-6112,10832,512,1301,4224
1000,16,30,59,-6560,-5664,10756,512,1285,4224
1000,16,30,56,-6360,-6048,10820,516,1297,4224
1000,16,30,57,-6424,-6080,10772,514,1300,4224
1000,16,30,58,-6464,-6080,10772,514,1284,4224
1000,16,30,59,-6528,-5696,10520,518,1284,4224
1000,16,30,56,-6432,-6080,10496,518,1285,4224
1000,16,30,57,-6304,-6144,10752,516,1281,4224
1000,16,31,6,-6424,-5656,10752,518,1297,4224
1000,16,31,7,-6552,-5728,10496,518,1285,4224
1000,16,31,8,-6528,-6080,10496,518,1280,4224
1000,16,31,9,-6464,-6072,10496,516,1300,4224
1000,16,31,6,-6456,-6112,10752,514,1297,4224
1000,16,31,7,-6496,-6080,10756,512,1285,4224
1000,16,31,8,-6528,-6112,10752,516,1280,4224
1000,16,31,9,-6496,-6040,10760,518,1296,4224
1000,16,31,6,-6456,-6112,10752,514,1284,4224
1000,16,31,7,-6488,-6040,10752,512,1281,4224
1000,16,31,16,-6528,-6040,10496,516,1281,4224
1000,16,31,17,-7008,-5656,10768,512,1296,4224
1000,16,31,18,-6400,-6112,10512,516,1300,4224
1000,16,31,19,-6424,-6112,10512,516,1284,4224
1000,16,31,16,-6456,-6144,10756,512,1301,4224
1000,16,31,18,-6456,-6040,10756,516,1284,4224
1000,16,31,19,-6432,-6104,10520,512,1285,4224
1000,16,31,16,-6528,-6072,10752,518,1300,4224
1000,16,31,17,-6368,-5976,10496,516,1300,4224
1000,16,31,26,-6624,-5688,10752,514,1285,4224
1000,16,31,27,-6392,-5656,10528,512,1280,4224
1000,16,31,28,-6496,-6112,10784,518,1284,4224
1000,16,31,29,-6496,-6136,10788,512,1280,4224
1000,16,31,26,-6336,-5656,10528,512,1284,4224
1000,16,31,27,-6424,-5664,10500,518,1300,4224
1000,16,31,28,-6424,-5728,10788,514,1301,4224
1000,16,31,29,-6688,-6040,10536,518,1297,4224
1000,16,31,26,-6648,-5664,10280,518,1301,4224
1000,16,31,27,-6368,-6048,10768,518,1285,4224
1000,16,31,36,-6456,-6104,10496,512,1284,4224
1000,16,31,37,-6528,-5688,10752,514,1285,4224
1000,16,31,38,-6496,-6080,10496,518,1300,4224
1000,16,31,39,-6296,-6048,10788,512,1284,4224
1000,16,31,36,-6592,-6112,10752,516,1301,4224
1000,16,31,37,-6424,-5976,10784,518,1285,4224
1000,16,31,38,-6432,-6048,10756,518,1285,4224
1000,16,31,39,-6464,-5728,10512,514,1301,4224
1000,16,31,36,-6328,-6008,10800,518,1281,4224
1000,16,31,37,-6656,-5688,10816,516,1285,4224
1000,16,31,46,-6488,-6072,10560,512,1297,4224
1000,16,31,47,-6488,-6144,10560,518,1300,4224
1000,16,31,48,-6456,-5688,10752,514,1297,4224
1000,16,31,49,-6496,-6048,10752,514,1284,4224
1000,16,31,46,-6528,-5848,10752,514,1300,4224
1000,16,31,47,-6464,-5760,10500,514,1301,4224
1000,16,31,48,-6528,-6040,10820,514,1300,4224
1000,16,31,49,-6368,-6136,10824,516,1296,4224
1000,16,31,46,-6424,-5696,10760,516,1301,4224
1000,16,31,47,-6592,-5912,10752,518,1296,4224
1000,16,31,56,-6464,-6112,10560,516,1300,4224
1000,16,31,57,-6432,-6072,10832,516,1297,4224
1000,16,31,58,-6552,-5656,10752,518,1301,4224
1000,16,31,56,-6392,-6072,10816,518,1296,4224
1000,16,31,57,-6496,-6104,10768,518,1281,4224
1000,16,31,58,-6560,-5688,10496,516,1281,4224
1000,16,31,59,-6464,-6080,10584,516,1281,4224
1000,16,31,56,-6392,-5760,10768,514,1300,0
1000,16,31,57,-6560,-5976,10752,516,1285,4224
1000,16,30,6,-6272,-6048,10752,514,1284,4224
1000,16,30,7,-6528,-6144,10752,514,1296,4224
1000,16,30,8,-6488,-6080,11008,516,1297,0
1000,16,30,9,-6264,-5696,10500,516,1280,4224
1000,16,30,6,-6392,-5688,10240,512,1296,4224
1000,16,30,7,-6648,-6104,10752,518,1296,4224
1000,16,30,8,-6400,-5880,10756,512,1296,4224
1000,16,30,9,-6488,-5984,10240,512,1281,4224
1000,16,30,6,-6400,-5856,10496,518,1297,4224
1000,16,30,7,-6584,-6080,10256,514,1297,4224
1000,16,30,16,-6624,-5728,10512,516,1281,4224
1000,16,30,17,-6456,-6080,10768,518,1300,4224
1000,16,30,18,-6552,-6136,10496,514,1296,4224
1000,16,30,19,-6400,-5976,10512,512,1296,4224
1000,16,30,16,-6488,-6104,10516,514,1300,4224
1000,16,30,17,-6496,-6080,10516,518,1297,4224
1000,16,30,18,-6560,-6072,10512,516,1284,4224
1000,16,30,19,-6200,-6136,10520,514,1300,4224
1000,16,30,16,-6520,-5664,10504,514,1301,4224
1000,16,30,17,-6304,-6048,10496,514,1296,4224
1000,16,30,26,-6552,-6144,10784,512,1300,4224
1000,16,30,27,-6456,-6080,11040,514,1300,4224
1000,16,30,28,-6464,-6072,10784,514,1281,4224
1000,16,30,29,-6520,-6104,10784,518,1296,4224
1000,16,30,26,-6488,-6144,10756,518,1281,4224
1000,16,30,27,-6272,-6144,10784,518,1296,4224
1000,16,30,28,-6464,-6080,10756,512,1284,4224
1000,16,30,29,-6232,-6080,10528,516,1284,4224
1000,16,30,26,-6520,-6072,10784,514,1281,4224
1000,16,30,27,-6368,-6072,10768,518,1284,4224
1000,16,30,36,-6368,-6016,10528,516,1300,4224
1000,16,30,37,-6336,-5976,10784,516,1284,4224
1000,16,30,38,-6584,-6136,10784,512,1301,4224
1000,16,30,39,-6432,-5696,11056,516,1281,4224
1000,16,30,37,-6496,-5792,10528,516,1281,4224
1000,16,30,38,-6584,-6112,10528,516,1285,4224
1000,16,30,39,-6464,-5688,10760,512,1297,4224
1000,16,30,36,-6392,-6080,10752,516,1300,4224
1000,16,30,37,-6392,-6136,10816,516,1281,4224
1000,16,30,46,-6232,-5664,10752,518,1284,4224
1000,16,30,47,-6520,-6104,10752,514,1280,4224
1000,16,30,48,-6496,-5976,10752,514,1281,4224
1000,16,30,49,-6528,-5688,10756,516,1281,4224
1000,16,30,46,-6688,-6104,10816,518,1301,4224
1000,16,30,47,-6456,-6016,10564,512,1285,4224
1000,16,30,48,-6304,-5984,10756,512,1284,4224
1000,16,30,49,-6552,-5656,10496,512,1301,4224
1000,16,30,46,-6488,-6104,10816,516,1300,4224
1000,16,30,47,-6456,-6144,10512,518,1297,4224
1000,16,30,56,-6488,-5696,10576,516,1280,4224
1000,16,30,57,-6520,-5728,10768,514,1280,4224
1000,16,30,58,-6456,-5664,10816,512,1300,4224
1000,16,30,59,-6528,-6104,10512,512,1285,4224
1000,16,30,56,-6528,-5720,10756,518,1280,4224
1000,16,30,57,-6424,-6144,10756,512,1296,4224
1000,16,30,58,-6616,-6016,10564,514,1281,4224
1000,16,30,59,-6360,-6016,10560,518,1284,4224
1000,16,30,56,-6264,-6080,10584,518,1301,4224
1000,16,30,57,-6488,-6112,10752,512,1297,4224
1000,16,31,6,-6368,-6072,10752,518,1280,4224
1000,16,31,7,-6616,-6112,10752,518,1301,4224
1000,16,31,8,-6688,-6144,10752,518,1301,4224
1000,16,31,9,-6552,-6104,10752,514,1297,4224
1000,16,31,6,-6592,-6104,10752,516,1284,4224
1000,16,31,7,-6616,-6104,10500,516,1300,4224
1000,16,31,8,-6496,-6104,10756,516,1284,4224
1000,16,31,9,-6368,-6072,10760,518,1296,4224
1000,16,31,6,-6400,-5696,10504,516,1285,4224
1000,16,31,7,-6464,-5656,10768,518,1281,4224
1000,16,31,16,-6456,-6112,10512,514,1301,0
1000,16,31,18,-6488,-6144,10496,516,1296,4224
1000,16,31,19,-6520,-6104,10752,514,1301,4224
1000,16,31,16,-6680,-6104,10772,514,1297,0
1000,16,31,17,-6456,-6016,10752,512,1284,4224
1000,16,31,18,-6488,-6136,11008,514,1300,4224
1000,16,31,19,-6360,-6048,10776,512,1285,0
1000,16,31,16,-6392,-6048,10520,516,1284,4224
1000,16,31,17,-6424,-6072,10784,516,1285,4224
1000,16,31,26,-6392,-6008,10528,514,1296,4224
1000,16,31,27,-6496,-6080,10784,514,1297,4224
1000,16,31,28,-6304,-6144,10752,518,1297,4224
1000,16,31,29,-6648,-5952,10788,518,1280,4224
1000,16,31,26,-6496,-5752,11008,512,1296,4224
1000,16,31,27,-6392,-6008,10496,518,1280,4224
1000,16,31,28,-6232,-5888,10528,516,1296,4224
1000,16,31,29,-6264,-5856,10528,512,1280,4224
1000,16,31,26,-6272,-6104,10784,518,1285,4224
1000,16,31,27,-6432,-6040,10528,512,1280,4224
1000,16,31,36,-6552,-6048,10752,514,1280,4224
1000,16,31,37,-6560,-5656,10768,518,1300,4224
1000,16,31,38,-6456,-5720,10784,518,1296,4224
1000,16,31,39,-6360,-6136,10544,514,1300,4224
1000,16,31,36,-6560,-6112,10548,514,1297,4224
1000,16,31,37,-6688,-6136,10516,518,1297,4224
1000,16,31,38,-6424,-5976,10528,512,1300,4224
1000,16,31,39,-6552,-6136,10768,512,1297,4224
1000,16,31,36,-6584,-6112,10784,512,1280,4224
1000,16,31,37,-6496,-6080,10560,518,1296,4224
1000,16,31,46,-6360,-6136,10560,512,1296,4224
1000,16,31,47,-6424,-6072,10752,512,1297,4224
1000,16,31,48,-6464,-6072,11008,518,1284,4224
1000,16,31,49,-6528,-5656,10564,514,1300,4224
1000,16,31,46,-6496,-6040,10752,514,1281,4224
1000,16,31,47,-6496,-6112,10564,514,1284,4224
1000,16,31,48,-6464,-5952,10752,516,1284,4224
1000,16,31,49,-6464,-6112,10760,518,1296,4224
1000,16,31,46,-6496,-6080,10504,518,1280,4224
1000,16,31,47,-6656,-5696,10752,512,1300,4224
1000,16,31,56,-6400,-5944,10768,512,1297,4224
1000,16,31,58,-6488,-6080,10768,518,1300,4224
1000,16,31,59,-6520,-5720,10752,516,1285,4224
1000,16,31,56,-6528,-5696,10752,514,1301,4224
1000,16,31,57,-6464,-5656,10580,514,1296,4224
1000,16,31,58,-6432,-5696,10768,512,1301,4224
1000,16,31,59,-6464,-6144,10752,512,1296,4224
1000,16,31,56,-6520,-6144,10824,514,1296,4224
1000,16,31,57,-6488,-5656,10496,512,1281,4224
1000,16,30,6,-6392,-6008,10752,514,1300,4224
1000,16,30,7,-6488,-6136,10496,518,1280,4224
1000,16,30,8,-6368,-6104,10752,516,1297,4224
1000,16,30,9,-6552,-6080,10756,516,1297,4224
1000,16,30,6,-6272,-6112,10752,512,1296,4224
1000,16,30,7,-6464,-6008,10756,512,1300,4224
1000,16,30,8,-6392,-6048,10500,514,1280,4224
1000,16,30,9,-6520,-6112,10752,516,1297,4224
1000,16,30,6,-6616,-6040,10496,516,1285,4224
1000,16,30,7,-6648,-5664,10512,518,1296,4224
1000,16,30,16,-6424,-6072,10512,518,1281,4224
1000,16,30,17,-6496,-6016,10752,516,1280,4224
1000,16,30,18,-6488,-6144,10768,512,1296,4224
1000,16,30,19,-6560,-6072,10756,518,1285,4224
1000,16,30,16,-6240,-6104,10516,514,1297,4224
1000,16,30,17,-6528,-6144,10756,518,1297,4224
1000,16,30,18,-6496,-5688,10752,518,1296,4224
1000,16,30,19,-6488,-6048,10776,516,1281,4224
1000,16,30,16,-6488,-5976,10768,518,1285,4224
1000,16,30,17,-6392,-5984,10528,514,1280,4224
1000,16,30,26,-6176,-6040,10240,516,1297,4224
1000,16,30,27,-6520,-6016,10496,514,1285,4224
1000,16,30,28,-6296,-6136,10528,512,1297,0
1000,16,30,29,-6552,-6136,10528,518,1285,4224
1000,16,30,26,-6272,-6144,10500,516,1284,4224
1000,16,30,27,-6464,-5696,10784,512,1281,4224
1000,16,30,28,-6424,-5912,10788,512,1280,4224
1000,16,30,29,-6400,-6080,10528,518,1284,4224
1000,16,30,26,-6584,-6144,10528,518,1296,4224
1000,16,30,36,-6296,-5976,10768,512,1296,4224
1000,16,30,37,-6528,-6080,10800,514,1297,4224
1000,16,30,38,-6424,-6016,10800,516,1296,4224
1000,16,30,39,-6560,-6136,10752,518,1297,4224
1000,16,30,36,-6456,-6040,10768,512,1285,4224
1000,16,30,37,-6688,-6136,10548,514,1296,4224
1000,16,30,38,-6304,-5656,10544,516,1296,4224
1000,16,30,39,-6520,-6040,10792,514,1301,4224
1000,16,30,36,-6528,-6144,10752,512,1300,4224
1000,16,30,37,-6392,-6048,10752,512,1300,4224
1000,16,30,46,-6560,-5664,10496,518,1296,4224
1000,16,30,47,-6400,-6016,10752,514,1296,4224
1000,16,30,48,-6464,-6136,10752,518,1301,4224
1000,16,30,49,-6432,-6072,10816,514,1284,4224
1000,16,30,46,-6360,-6144,10752,516,1280,4224
1000,16,30,47,-6648,-5696,10820,518,1296,4224
1000,16,30,48,-6488,-6048,10564,514,1281,4224
1000,16,30,49,-6464,-5952,10752,514,1300,4224
1000,16,30,46,-6360,-6112,10504,514,1301,4224
1000,16,30,47,-6400,-6048,10560,514,1285,4224
1000,16,30,56,-6400,-6080,10576,514,1300,4224
1000,16,30,57,-6432,-6048,10768,514,1281,4224
1000,16,30,58,-6424,-5720,10768,518,1297,4224
1000,16,30,59,-6360,-6136,10832,516,1297,4224
1000,16,30,56,-6496,-6040,10580,512,1285,4224
1000,16,30,57,-6552,-6136,10576,514,1301,4224
1000,16,30,58,-6264,-6016,10772,516,1280,4224
1000,16,30,59,-6496,-5664,10768,514,1281,4224
1000,16,30,56,-6360,-6048,10752,512,1300,4224
1000,16,30,57,-6424,-6136,10496,516,1300,4224
1000,16,31,6,-6592,-5728,10752,516,1280,4224
1000,16,31,7,-6432,-5656,10752,512,1297,4224
1000,16,31,8,-6368,-6112,10752,516,1301,4224
1000,16,31,9,-6424,-6112,10500,512,1300,4224
1000,16,31,6,-6464,-6144,10752,514,1285,4224
1000,16,31,7,-6368,-6144,10500,518,1300,4224
1000,16,31,8,-6496,-6048,10500,514,1300,4224
1000,16,31,9,-6368,-5944,10504,514,1280,4224
1000,16,31,7,-6296,-6048,10512,516,1280,4224
1000,16,31,16,-6456,-5888,10768,518,1300,4224
1000,16,31,17,-6296,-6136,10512,516,1281,4224
1000,16,31,18,-6560,-6072,10752,512,1285,4224
1000,16,31,19,-6488,-5720,10756,514,1300,4224
1000,16,31,26,-6456,-6040,10784,514,1280,4224
1000,16,31,27,-6592,-5656,10752,516,1297,4224
1000,16,31,28,-6392,-6048,10496,516,1301,4224
1000,16,31,29,-6624,-5952,10528,516,1296,4224
1000,16,31,26,-6432,-6080,10496,514,1285,4224
1000,16,31,27,-6488,-5720,10532,512,1301,4224
1000,16,31,28,-6400,-5920,10532,514,1296,4224
1000,16,31,29,-6688,-6136,10752,512,1280,4224
